tree_id,legal_status,species,address,site_order,site_info,caretaker,date,dbh,plot_size,latitude,longitude
99001,DPW Maintained,Lophostemon confertus :: Brisbane Box,2190X North Point St,7.0,Sidewalk: Curb side : Cutout,DPW for City Agency,2011-04-18,,3x3,37.66326979961981,-122.54863606723498
253633,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,1909 Judah St,1.0,Sidewalk: Curb side : Cutout,Private,2019-05-22,,3x3,37.10904769954032,-122.39617312086315
96059,Permitted Site,Afrocarpus gracilior :: Fern Pine,101 Montcalm St,1.0,Sidewalk: Curb side : Cutout,Private,2011-08-03,,3x3,37.66947818925015,-122.89925913983328
37613,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,423 17th Ave,1.0,Sidewalk: Curb side : Cutout,Private,1998-06-26,7.0,,37.01267137758118,-122.24166720354768
64585,Permitted Site,Ginkgo biloba :: Maidenhair Tree,3370 22nd St,1.0,Sidewalk: Curb side : Cutout,Private,1991-10-24,,,37.02285394813467,-122.5978419267705
34097,Permitted Site,Prunus serrulata :: Ornamental Cherry,600 Miramar Ave,2.0,Sidewalk: Curb side : Cutout,Private,1997-07-05,,,37.5400572981135,-122.83675587714733
68438,Permitted Site,Prunus cerasifera :: Cherry Plum,184 Edgewood Ave,1.0,Sidewalk: Curb side : Cutout,Private,1993-08-26,,,37.73408689110514,-122.94228404111408
68831,Permitted Site,Agonis flexuosa :: Peppermint Willow,118 Flood Ave,1.0,Sidewalk: Curb side : Cutout,Private,1993-11-30,,,37.26491208841555,-122.08910453681018
36501,Permitted Site,Prunus cerasifera :: Cherry Plum,202 Anderson St,1.0,Sidewalk: Curb side : Cutout,Private,1998-05-18,,,37.360210512945116,-122.14577537728826
32352,Permitted Site,Lophostemon confertus :: Brisbane Box,2180 Bryant St,2.0,Sidewalk: Curb side : Cutout,Private,1996-10-03,,,37.540864890746654,-122.67518557885056
18473,DPW Maintained,Magnolia grandiflora 'Saint Mary' :: Saint Mary Magnolia,1255 Potrero Ave,1.0,Sidewalk: Curb side : Cutout,DPW,2013-11-15,3.0,3x3,37.07435498687865,-122.21762551328686
108570,DPW Maintained,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,40 Sweeny St,1.0,Sidewalk: Curb side : Cutout,Private,2014-12-24,3.0,3x3,37.383888079601846,-122.89040430013232
32787,Permitted Site,Platanus x hispanica :: Sycamore: London Plane,1661 Fulton St,1.0,Sidewalk: Curb side : Cutout,Private,1996-10-29,,,37.0477102136746,-122.58445694238704
56394,DPW Maintained,Fraxinus oxycarpa 'Raywood' :: Raywood Ash,1371 Thomas Ave,1.0,Sidewalk: Curb side : Cutout,Private,1973-08-17,11.0,,37.41820660568703,-122.0670875332406
58135,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,2900 Clay St,1.0,Sidewalk: Curb side : Cutout,Private,1978-02-27,12.0,,37.25919288637705,-122.01613927659989
42131,Permitted Site,Melaleuca quinquenervia :: Cajeput,170 Staples Ave,1.0,Sidewalk: Curb side : Cutout,Private,2000-06-21,,,37.056777613094845,-122.35509506375298
93347,DPW Maintained,Fraxinus americana 'Autumn Purple' :: American Autumn Purple Ash,2100X Turk Blvd,30.0,Sidewalk: Curb side : Cutout,DPW,2008-11-21,3.0,3x3,37.30948071785693,-122.56979141831846
147476,DPW Maintained,Olea europaea 'Wilsonii' :: Wilson Olive Semi-fruitless,771 20th Ave,1.0,Sidewalk: Curb side : Cutout,DPW,2019-11-18,0.0,Width 4ft,37.244672518135204,-122.22361915598515
42452,Permitted Site,Callistemon citrinus :: Lemon Bottlebrush,535 Mangels Ave,1.0,Sidewalk: Curb side : Cutout,Private,2000-06-23,,,37.60450115803128,-122.09295567852527
35003,DPW Maintained,Cordyline australis :: Dracena Palm,3508 Balboa St,1.0,Sidewalk: Curb side : Cutout,Private,2013-04-01,3.0,,37.72960522665798,-122.89962206905588
44768,DPW Maintained,Eriobotrya deflexa :: Bronze Loquat,712 Bryant St,1.0,Sidewalk: Curb side : Cutout,Private,2001-04-12,6.0,,37.18576684284124,-122.99703171032638
30973,Permitted Site,Arbutus 'Marina' :: Hybrid Strawberry Tree,1928 Jackson St,1.0,Sidewalk: Curb side : Cutout,Private,1995-03-13,,,37.51403618524625,-122.71228020644749
82678,Permitted Site,Casurina stricta :: Beefwood: Drooping She-Oak,1 Ignacio Ave,5.0,Sidewalk: Curb side : Cutout,Private,2009-07-08,,3x3,37.67137520659661,-122.38145946953803
37230,Permitted Site,Arbutus 'Marina' :: Hybrid Strawberry Tree,1775 35th Ave,1.0,Sidewalk: Curb side : Cutout,Private,1998-06-12,,,37.40681462751591,-122.04916340558785
93822,Permitted Site,Pyrus kawakamii :: Evergreen Pear,178 Bluxome St,11.0,Sidewalk: Curb side : Cutout,Private,2010-04-05,,3x3,37.10999121298722,-122.80424683940369
57413,DPW Maintained,Prunus cerasifera :: Cherry Plum,100 Commonwealth Ave,1.0,Sidewalk: Curb side : Cutout,Private,1976-09-08,5.0,,37.1900729138902,-122.22377880957046
258169,DPW Maintained,Ginkgo biloba :: Maidenhair Tree,148 Felton St,4.0,Sidewalk: Curb side : Cutout,DPW,2017-08-05,3.0,3x3,37.34207493726898,-122.88838289660423
5490,DPW Maintained,Pistacia chinensis :: Chinese Pistache,714 Dolores St,1.0,Sidewalk: Curb side : Cutout,Private,2015-12-28,1.0,4X4,37.829229981340355,-122.31020382778793
24516,DPW Maintained,Lophostemon confertus :: Brisbane Box,1695X Gough St,1.0,Sidewalk: Curb side : Cutout,DPW,1995-05-20,18.0,3X3,37.624982586737026,-122.61960231979874
46698,Permitted Site,Maytenus boaria :: Mayten,1426 12th Ave,1.0,Sidewalk: Curb side : Cutout,Private,2002-04-22,,,37.6900220471531,-122.81122173092172
98372,Permitted Site,Arbutus 'Marina' :: Hybrid Strawberry Tree,89 Montana St,1.0,Sidewalk: Curb side : Cutout,Private,2012-02-07,,3x3,37.089673923936,-122.7589184870768
53654,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,1323 Polk St,1.0,Sidewalk: Curb side : Cutout,Private,1969-12-17,2.0,,37.368998188661635,-122.79756700335008
88156,DPW Maintained,Pyrus calleryana :: Ornamental Pear,353 Clementina St,1.0,Sidewalk: Curb side : Cutout,Private,2008-07-08,3.0,3x3,37.07559250960548,-122.4616934402686
259622,DPW Maintained,::,1498x Visitacion Ave,1.0,Sidewalk: Curb side : Cutout,DPW,2019-06-01,3.0,,37.37246036798003,-122.02985615372289
65883,DPW Maintained,Ceratonia siliqua :: Carob,3100X Fillmore St,1.0,Sidewalk: Curb side : Cutout,Private,2013-04-23,3.0,,37.04132133960021,-122.18737927309787
37009,Permitted Site,Liquidambar styraciflua :: American Sweet Gum,1160 Alabama St,1.0,Sidewalk: Curb side : Cutout,Private,2002-06-08,,,37.228501336471375,-122.15581586038996
32693,DPW Maintained,Chamaerops humilis :: Mediterranean Fan Palm,3732 23rd St,1.0,Sidewalk: Curb side : Cutout,Private,1996-10-29,1.0,,37.806251819053486,-122.6520705357594
42702,Permitted Site,Prunus cerasifera :: Cherry Plum,1401 Shotwell St,2.0,Sidewalk: Curb side : Cutout,Private,2000-06-26,,,37.409889323621286,-122.1570824651635
47159,Permitted Site,Ginkgo biloba :: Maidenhair Tree,200 San Fernando Way,1.0,Sidewalk: Curb side : Cutout,Private,2009-07-10,,3x3,37.0340158296264,-122.92558509988454
91454,Permitted Site,Ginkgo biloba :: Maidenhair Tree,680x WASHINGTON ST,3.0,Sidewalk: Curb side : Cutout,Private,2009-04-10,,3x3,37.287524857720776,-122.80793272959014
52209,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,940 Grove St,1.0,Sidewalk: Curb side : Cutout,Private,2010-05-10,18.0,4x6,37.28147154299542,-122.4208539991293
3608,DPW Maintained,Quercus ilex :: Holly Oak,100X Cargo Way,44.0,Sidewalk: Curb side : Cutout,Port,2006-03-07,3.0,3X3,37.84308407624732,-122.91431534353084
72669,DPW Maintained,Ginkgo biloba :: Maidenhair Tree,203 04th Ave,6.0,Sidewalk: Curb side : Cutout,Private,1997-08-02,2.0,,37.80493517257541,-122.50191208338066
88573,Permitted Site,Olea europaea :: Olive Tree,488 18th Ave,,Sidewalk: Curb side : Cutout,Private,2008-07-31,,3x3,37.60845456668031,-122.3823925373715
48603,Permitted Site,Crataegus phaenopyrum :: Washington Hawthorn,45 Granville Way,1.0,Sidewalk: Curb side : Cutout,Private,2002-08-30,,,37.679661108910075,-122.66786576025825
85873,Permitted Site,Ulmus parvifolia 'Drake' :: Drake's Chinese Elm,2394 Folsom St,1.0,Sidewalk: Curb side : Cutout,Private,2007-05-22,3.0,3x3,37.251155500052285,-122.43913411663357
65119,DPW Maintained,Pittosporum undulatum :: Victorian Box,85 21st Ave,1.0,Sidewalk: Curb side : Cutout,Private,1989-07-24,6.0,,37.30575406404731,-122.53327419156702
38819,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,224 03rd Ave,1.0,Sidewalk: Curb side : Cutout,Private,1998-10-30,7.0,,37.25229686371792,-122.76071527805013
